Intensity,Foods
1,6
1,2
1,7
1,3
1,4
1,2
1,3
1,6
1,4
1,6
1,6
1,4
1,3
1,7
1,6
1,5
1,1
1,2
1,1
1,4
1,4
1,1
1,7
1,6
1,3
1,3
1,5
1,1
1,5
1,5
1,2
1,7
1,3
1,5
1,4
1,4
1,7
2,12
2,10
2,8
2,9
2,9
2,7
2,7
2,12
2,13
2,8
2,9
2,7
2,8
2,12
2,8
2,10
2,8
2,6
2,8
2,13
2,11
2,8
2,11
2,10
2,7
2,13
2,11
2,9
2,7
2,7
2,8
2,7
2,9
2,10
2,7
3,16
3,16
3,18
3,13
3,15
3,13
3,12
3,15
3,17
3,12
3,12
3,16
3,12
3,12
3,17
3,13
3,18
3,11
3,11
3,12
3,14
3,14
3,11
3,12
3,15
3,18
3,13
3,11
3,12
3,12
3,12
3,15
3,16
3,15
3,12
3,17
3,18
3,18
3,12
3,14
3,11
3,18
