Are You a Fan of SW?,Favorability_Han Solo,Favorability_Luke Skywalker,Favorability_Princess Leia Organa,Favorability_Anakin Skywalker,Favorability_Obi Wan Kenobi,Favorability_Emperor Palpatine,Favorability_Darth Vader,Favorability_Lando Calrissian,Favorability_Boba Fett,Favorability_C-3P0,Favorability_R2 D2,Favorability_Jar Jar Binks,Favorability_Padme Amidala,Favorability_Yoda,who_shot_first,Familiar_with_expanded_universe,are_you_a_fan_of_expanded_universe,fan_of_star_trek,Gender,Age,Household.Income,Education,Location
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,I don't understand this question,Yes,No,No,Male,18-29,,High school degree,South Atlantic
No,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),I don't understand this question,No,,No,Male,18-29,"$0 - $24,999",High school degree,West North Central
Yes,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Unfamiliar (N/A),Very unfavorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Greedo,Yes,No,No,Male,45-60,,Bachelor degree,West North Central
Yes,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Very favorably,Very unfavorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Somewhat favorably,Somewhat favorably,Greedo,Yes,No,No,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Han,Yes,No,Yes,Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
Yes,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Somewhat favorably,Very favorably,Han,Yes,No,No,Male,18-29,,High school degree,East North Central
Yes,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Somewhat unfavorably,Very favorably,Han,No,,Yes,Male,18-29,,High school degree,South Atlantic
Yes,Very favorably,Somewhat unfavorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very unfavorably,Somewhat unfavorably,Somewhat favorably,Han,No,,No,Male,18-29,"$0 - $24,999",Some college or Associate degree,South Atlantic
Yes,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Han,Yes,No,No,Female,45-60,,High school degree,West North Central
Yes,Unfamiliar (N/A),Very favorably,Very favorably,Very favorably,Very favorably,Unfamiliar (N/A),Very favorably,Unfamiliar (N/A),Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,I don't understand this question,Yes,No,No,Male,18-29,"$0 - $24,999",Graduate degree,West South Central
Yes,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Unfamiliar (N/A),Very unfavorably,Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Unfamiliar (N/A),Very favorably,Very favorably,I don't understand this question,No,,No,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain
Yes,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Greedo,Yes,No,Yes,Female,18-29,"$0 - $24,999",Some college or Associate degree,East North Central
