StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,pay,insurance ,taxes ,political-leanings_1,political-leanings_2,political-leanings_3,political-leanings_4,political-leanings_5,political-leanings_6,political-leanings_7,gender,age,comments,id,s1,s2,s3,s4,s5,s6,csn,comp_idx_0,comp_idx_1,comp_idx_2,comp_idx_3,comp_idx_4,comp_idx_5,condition,frame,payQ,payA1,payA2,insuranceQ,insuranceA1,insuranceA2,taxesQ,taxesA1,taxesA2
11/3/25 10:27,11/3/25 10:29,0,89,139,0,11/3/25 11:34,R_7LHFAa9qGqfRX8O,anonymous,EN,1,1,0,1,,,,,,,,2,21,,753844,SV_7agtvkkTcrNbqKy,SV_0PtibTIoeXdqcSy,SV_5hhJmtVGxexQBkG,SV_0NUC4HrnDliRvwO,SV_6SgeEZgaR0vsL1Y,,2,0,0,0,0,0,,reward,fix,"XYZ Inc. awarded 100 salespeople a bonus payment of $500 in recognition of their high performance. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 employees who received a bonus did not deserve it (that is, they <i>were not</i> in fact high performers)","10 additional employees deserved a bonus (that is, they <i>were</i> in fact high performers) but did not receive it","ABC Auto Insurance Co. conducted an audit of their policyholders and decided to reduce monthly premium payments by $50 for 100 of their policyholders who were deemed to be the safest drivers. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 policyholders whose premiums were reduced did not deserve it (that is, they <i>were not</i> in fact safe drivers)","10 additional policyholders deserved a reduction in their premiums (that is, they <i>were</i> in fact safe drivers) but did not receive it","Smallville is experiencing a drought, and as a result each household was given an allotment for how much water they could consume over the course of a year. Annual bills were recently computed, and the city’s Superintendent of Water awarded a credit of $250 to 100 residents who remained sufficiently below their allotment. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 residents who received a credit did not deserve it (that is, they <i>did not</i> in fact remain below their allotment)","10 additional residents deserved to receive a credit (that is, they <i>did</i> in fact remain below their allotment) but did not"
11/3/25 10:48,11/3/25 10:50,0,89,122,0,11/3/25 12:03,R_3E41gVfbg2W2WBy,anonymous,EN,1,1,0,1,,,,1,,,,2,18,,372627,SV_6SgeEZgaR0vsL1Y,SV_0NUC4HrnDliRvwO,SV_7agtvkkTcrNbqKy,SV_0PtibTIoeXdqcSy,SV_5hhJmtVGxexQBkG,,4,1,1,0,0,0,,punishment,prevent,"XYZ Inc. is planning to dock the pay of 100 salespeople by $500 as a penalty for their low performance. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 employees whose pay will be docked will not deserve it (that is, they <i>will not</i> in fact be low performers)","10 additional employees will deserve to have their pay docked (that is, they <I>will</i> in fact be low performers) but will not","ABC Auto Insurance Co. is conducting an audit of their policyholders and plans to increase monthly premium payments by $50 for 100 of their policyholders who are deemed to be the most reckless drivers. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 policyholders whose premiums will be increased will not deserve it (that is, they <i>will not</i> in fact be reckless drivers)","10 additional policyholders will deserve to have their premiums increased (that is, they <I>will</i> in fact be reckless drivers) but will not","Smallville is experiencing a drought, and as a result each household is being given an allotment for how much water they can consume over the course of a year. Annual bills will soon be computed, and the city’s Superintendent of Water plans to assess a fine of $250 upon 100 residents who go too far over their allotment. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 residents who will be fined will not deserve it (that is, they <i>will not</i> have in fact gone over their allotment)","10 additional residents will deserve to be fined (that is, they <i>will</i> have in fact gone over their allotment) but will not be"
11/3/25 11:09,11/3/25 11:10,0,89,113,0,11/3/25 12:11,R_1espPXdiZoFuhpP,anonymous,EN,1,0,0,0,,,,,,,,2,18,,846481,SV_5hhJmtVGxexQBkG,SV_7agtvkkTcrNbqKy,SV_0PtibTIoeXdqcSy,SV_0NUC4HrnDliRvwO,SV_6SgeEZgaR0vsL1Y,,3,1,0,0,0,0,,punishment,fix,"XYZ Inc. docked the pay of 100 salespeople by $500 as a penalty for their low performance. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 employees whose pay was docked did not deserve it (that is, they <i>were not</i> in fact low performers)","10 additional employees deserved to have their pay docked (that is, they <i>were</i> in fact low performers) but did not","ABC Auto Insurance Co. conducted an audit of their policyholders and decided to increase monthly premium payments by $50 for 100 of their policyholders who were deemed to be the most reckless drivers. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 policyholders whose premiums were increased did not deserve it (that is, they <i>were not</i> in fact reckless drivers)","10 additional policyholders deserved an increase in their premiums (that is, they <i>were</i> in fact reckless drivers) but did not receive it","Smallville is experiencing a drought, and as a result each household was given an allotment for how much water they could consume over the course of a year. Annual bills were recently computed, and the city’s Superintendent of Water assessed a fine of $250 upon 100 residents who went too far over their allotment. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 residents who were fined did not deserve it (that is, they <i>did not</i> in fact go over their allotment)","10 additional residents deserved to be fined (that is, they <i>did</i> in fact go over their allotment) but were not"
11/3/25 11:16,11/3/25 11:19,0,89,190,0,11/3/25 12:19,R_6GJKf561CaLxWCc,anonymous,EN,1,1,1,1,,,,,,,,1,24,,144193,SV_0PtibTIoeXdqcSy,SV_7agtvkkTcrNbqKy,SV_6SgeEZgaR0vsL1Y,SV_5hhJmtVGxexQBkG,SV_0NUC4HrnDliRvwO,,3,1,0,0,0,0,,reward,prevent,"XYZ Inc. is planning to award 100 salespeople a bonus payment of $500 in recognition of their high performance. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 employees who will receive a bonus will not deserve it (that is, they <I>will not</i> in fact be high performers)","10 additional employees will deserve a bonus (that is, they <I>will</i> in fact be high performers) but will not receive it","ABC Auto Insurance Co. is conducting an audit of their policyholders and plans to reduce monthly premium payments by $50 for 100 of their policyholders who are deemed to be the safest drivers. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 policyholders whose premiums will be reduced will not deserve it (that is, they <I>will not</i> in fact be safe drivers)","10 additional policyholders will deserve a reduction in their premiums (that is, they <I>will</i> in fact be safe drivers) but will not receive it","Smallville is experiencing a drought, and as a result each household is being given an allotment for how much water they can consume over the course of a year. Annual bills will soon be computed, and the city’s Superintendent of Water plans to award a credit of $250 to 100 residents who remain sufficiently below their allotment. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 residents who will receive a credit will not deserve it (that is, they <i>will not</i> have in fact remained below their allotment)","10 additional residents will deserve to receive a credit (that is, they <i>will</i> have in fact remained below their allotment) but will not"
11/3/25 11:18,11/3/25 11:20,0,33,169,0,11/3/25 12:21,R_6igDR3KxzmLUhzz,anonymous,EN,1,1,0,,,,,,,,,,,,261045,SV_7agtvkkTcrNbqKy,SV_5hhJmtVGxexQBkG,SV_0PtibTIoeXdqcSy,SV_0NUC4HrnDliRvwO,SV_6SgeEZgaR0vsL1Y,,1,0,0,0,0,0,,reward,prevent,"XYZ Inc. is planning to award 100 salespeople a bonus payment of $500 in recognition of their high performance. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 employees who will receive a bonus will not deserve it (that is, they <I>will not</i> in fact be high performers)","10 additional employees will deserve a bonus (that is, they <I>will</i> in fact be high performers) but will not receive it","ABC Auto Insurance Co. is conducting an audit of their policyholders and plans to reduce monthly premium payments by $50 for 100 of their policyholders who are deemed to be the safest drivers. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 policyholders whose premiums will be reduced will not deserve it (that is, they <I>will not</i> in fact be safe drivers)","10 additional policyholders will deserve a reduction in their premiums (that is, they <I>will</i> in fact be safe drivers) but will not receive it","Smallville is experiencing a drought, and as a result each household is being given an allotment for how much water they can consume over the course of a year. Annual bills will soon be computed, and the city’s Superintendent of Water plans to award a credit of $250 to 100 residents who remain sufficiently below their allotment. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 residents who will receive a credit will not deserve it (that is, they <i>will not</i> have in fact remained below their allotment)","10 additional residents will deserve to receive a credit (that is, they <i>will</i> have in fact remained below their allotment) but will not"
11/3/25 11:26,11/3/25 11:28,0,89,95,0,11/3/25 12:28,R_7nPNWBQ8hKzMn4z,anonymous,EN,1,0,0,1,,,,,,,,1,23,It was fun.,787686,SV_0PtibTIoeXdqcSy,SV_6SgeEZgaR0vsL1Y,SV_0NUC4HrnDliRvwO,SV_5hhJmtVGxexQBkG,SV_7agtvkkTcrNbqKy,,6,1,1,1,1,0,,punishment,fix,"XYZ Inc. docked the pay of 100 salespeople by $500 as a penalty for their low performance. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 employees whose pay was docked did not deserve it (that is, they <i>were not</i> in fact low performers)","10 additional employees deserved to have their pay docked (that is, they <i>were</i> in fact low performers) but did not","ABC Auto Insurance Co. conducted an audit of their policyholders and decided to increase monthly premium payments by $50 for 100 of their policyholders who were deemed to be the most reckless drivers. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 policyholders whose premiums were increased did not deserve it (that is, they <i>were not</i> in fact reckless drivers)","10 additional policyholders deserved an increase in their premiums (that is, they <i>were</i> in fact reckless drivers) but did not receive it","Smallville is experiencing a drought, and as a result each household was given an allotment for how much water they could consume over the course of a year. Annual bills were recently computed, and the city’s Superintendent of Water assessed a fine of $250 upon 100 residents who went too far over their allotment. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 residents who were fined did not deserve it (that is, they <i>did not</i> in fact go over their allotment)","10 additional residents deserved to be fined (that is, they <i>did</i> in fact go over their allotment) but were not"
11/3/25 11:30,11/3/25 11:34,0,89,202,0,11/3/25 12:34,R_3kiHudwLiyUJL4Q,anonymous,EN,1,0,1,1,,,,,,,,1,18,"The wording low-key made my brain hurt, but other than that, the survey was fine.",867279,SV_0NUC4HrnDliRvwO,SV_6SgeEZgaR0vsL1Y,SV_5hhJmtVGxexQBkG,SV_7agtvkkTcrNbqKy,SV_0PtibTIoeXdqcSy,,5,1,1,1,0,0,,punishment,prevent,"XYZ Inc. is planning to dock the pay of 100 salespeople by $500 as a penalty for their low performance. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 employees whose pay will be docked will not deserve it (that is, they <i>will not</i> in fact be low performers)","10 additional employees will deserve to have their pay docked (that is, they <I>will</i> in fact be low performers) but will not","ABC Auto Insurance Co. is conducting an audit of their policyholders and plans to increase monthly premium payments by $50 for 100 of their policyholders who are deemed to be the most reckless drivers. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 policyholders whose premiums will be increased will not deserve it (that is, they <i>will not</i> in fact be reckless drivers)","10 additional policyholders will deserve to have their premiums increased (that is, they <I>will</i> in fact be reckless drivers) but will not","Smallville is experiencing a drought, and as a result each household is being given an allotment for how much water they can consume over the course of a year. Annual bills will soon be computed, and the city’s Superintendent of Water plans to assess a fine of $250 upon 100 residents who go too far over their allotment. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 residents who will be fined will not deserve it (that is, they <i>will not</i> have in fact gone over their allotment)","10 additional residents will deserve to be fined (that is, they <i>will</i> have in fact gone over their allotment) but will not be"
11/3/25 11:32,11/3/25 11:34,0,89,119,0,11/3/25 12:34,R_7lM5B9WrwQnflJq,anonymous,EN,1,1,1,1,,,,,,,,1,22,,627082,SV_6SgeEZgaR0vsL1Y,SV_7agtvkkTcrNbqKy,SV_0PtibTIoeXdqcSy,SV_0NUC4HrnDliRvwO,SV_5hhJmtVGxexQBkG,,3,1,0,0,0,0,,reward,fix,"XYZ Inc. awarded 100 salespeople a bonus payment of $500 in recognition of their high performance. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 employees who received a bonus did not deserve it (that is, they <i>were not</i> in fact high performers)","10 additional employees deserved a bonus (that is, they <i>were</i> in fact high performers) but did not receive it","ABC Auto Insurance Co. conducted an audit of their policyholders and decided to reduce monthly premium payments by $50 for 100 of their policyholders who were deemed to be the safest drivers. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 policyholders whose premiums were reduced did not deserve it (that is, they <i>were not</i> in fact safe drivers)","10 additional policyholders deserved a reduction in their premiums (that is, they <i>were</i> in fact safe drivers) but did not receive it","Smallville is experiencing a drought, and as a result each household was given an allotment for how much water they could consume over the course of a year. Annual bills were recently computed, and the city’s Superintendent of Water awarded a credit of $250 to 100 residents who remained sufficiently below their allotment. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 residents who received a credit did not deserve it (that is, they <i>did not</i> in fact remain below their allotment)","10 additional residents deserved to receive a credit (that is, they <i>did</i> in fact remain below their allotment) but did not"
11/3/25 11:46,11/3/25 11:52,0,89,338,0,11/3/25 12:52,R_5NQIBwMscAdyYdX,anonymous,EN,1,1,1,1,,,,,,,,2,18,,288854,SV_6SgeEZgaR0vsL1Y,SV_5hhJmtVGxexQBkG,SV_7agtvkkTcrNbqKy,SV_0PtibTIoeXdqcSy,SV_0NUC4HrnDliRvwO,,4,1,1,0,0,0,,punishment,prevent,"XYZ Inc. is planning to dock the pay of 100 salespeople by $500 as a penalty for their low performance. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 employees whose pay will be docked will not deserve it (that is, they <i>will not</i> in fact be low performers)","10 additional employees will deserve to have their pay docked (that is, they <I>will</i> in fact be low performers) but will not","ABC Auto Insurance Co. is conducting an audit of their policyholders and plans to increase monthly premium payments by $50 for 100 of their policyholders who are deemed to be the most reckless drivers. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 policyholders whose premiums will be increased will not deserve it (that is, they <i>will not</i> in fact be reckless drivers)","10 additional policyholders will deserve to have their premiums increased (that is, they <I>will</i> in fact be reckless drivers) but will not","Smallville is experiencing a drought, and as a result each household is being given an allotment for how much water they can consume over the course of a year. Annual bills will soon be computed, and the city’s Superintendent of Water plans to assess a fine of $250 upon 100 residents who go too far over their allotment. They know they are prone to two mistakes, but they can only prevent one. Which mistake should they prevent?","10 of the 100 residents who will be fined will not deserve it (that is, they <i>will not</i> have in fact gone over their allotment)","10 additional residents will deserve to be fined (that is, they <i>will</i> have in fact gone over their allotment) but will not be"
11/3/25 11:50,11/3/25 11:52,0,89,168,0,11/3/25 12:52,R_1eRDaCWgWcDBIbu,anonymous,EN,1,1,0,1,,,,1,,,,2,18,,119763,SV_6SgeEZgaR0vsL1Y,SV_7agtvkkTcrNbqKy,SV_5hhJmtVGxexQBkG,SV_0PtibTIoeXdqcSy,SV_0NUC4HrnDliRvwO,,3,1,0,0,0,0,,reward,fix,"XYZ Inc. awarded 100 salespeople a bonus payment of $500 in recognition of their high performance. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 employees who received a bonus did not deserve it (that is, they <i>were not</i> in fact high performers)","10 additional employees deserved a bonus (that is, they <i>were</i> in fact high performers) but did not receive it","ABC Auto Insurance Co. conducted an audit of their policyholders and decided to reduce monthly premium payments by $50 for 100 of their policyholders who were deemed to be the safest drivers. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 policyholders whose premiums were reduced did not deserve it (that is, they <i>were not</i> in fact safe drivers)","10 additional policyholders deserved a reduction in their premiums (that is, they <i>were</i> in fact safe drivers) but did not receive it","Smallville is experiencing a drought, and as a result each household was given an allotment for how much water they could consume over the course of a year. Annual bills were recently computed, and the city’s Superintendent of Water awarded a credit of $250 to 100 residents who remained sufficiently below their allotment. They realized they made two mistakes, but they can only fix one. Which mistake should they fix?","10 of the 100 residents who received a credit did not deserve it (that is, they <i>did not</i> in fact remain below their allotment)","10 additional residents deserved to receive a credit (that is, they <i>did</i> in fact remain below their allotment) but did not"
